icd10,icd9
C9171,20481
C9190,20490
C9191,20491
C9200,20500
C9201,20501
C9210,20510
C9211,20511
C9220,20520
C9221,20521
C9230,20530
C9231,20531
C9240,20500
C9241,20501
C9250,20500
C9251,20501
C9270,20580
C9271,20581
C9290,20590
C9291,20591
C9300,20600
C9301,20601
C9310,20610
C9311,20611
C9320,20620
C9321,20621
C9370,20680
C9371,20681
C9390,20690
C9391,20691
C9400,20700
C9401,20701
C9410,20710
C9411,20711
C9420,20720
C9421,20721
C9430,20780
C9431,20781
C9440,2387
C9441,2387
C9450,2898
C9451,20721
C9470,20780
C9471,20781
C9500,20800
C9501,20801
C9510,20810
C9511,20811
C9520,20820
C9521,20821
C9570,20880
C9571,20881
C9590,20890
C9591,20891
C960,20250
C961,20230
C962,20260
C963,20000
C967,20290
C969,20290
C97,1990
D000,2300
D001,2301
D002,2302
D010,2303
D011,2304
D012,2304
D013,2305
D014,2307
D015,2308
D017,2309
D019,2309
D020,2310
D021,2311
D022,2312
D023,2318
D024,2319
D030,2320
D031,2321
D032,2322
D033,2323
D034,2324
D035,2325
D036,2326
D037,2327
D038,2328
D039,2329
D040,2320
D041,2321
D042,2322
D043,2323
D044,2324
D045,2325
D046,2326
D047,2327
D048,2328
D049,2329
D050,2330
D051,2330
D057,2330
D059,2330
D060,2331
D061,2331
D067,2331
D069,2331
D070,2332
D071,2333
D072,2333
D073,2333
D074,2335
D075,2334
D076,2336
D090,2337
D091,2339
D092,2340
D093,2348
D097,2348
D099,2349
D100,2100
D101,2101
D102,2103
D103,2104
D104,2105
D105,2106
D106,2107
D107,2108
D109,2109
D110,2102
D117,2102
D119,2102
D120,2113
D121,2113
D122,2113
D123,2113
D124,2113
D125,2113
D126,2113
D127,2114
D128,2114
D129,2114
D130,2110
D131,2111
D132,2112
D133,2112
D134,2115
D135,2115
D136,2116
D137,2117
D139,2119
D140,2120
D141,2121
D142,2122
D143,2123
D144,2129
D150,2126
D151,2127
D152,2125
D157,2128
D159,2129
D160,2134
D161,2135
D162,2137
D163,2138
D1641,21301
D1642,21302
D165,2131
D166,2132
D167,2133
D168,2136
D169,2139
D170,2140
D171,2141
D172,2141
D173,2141
D174,2142
D175,2143
D176,2144
D177,2148
D179,2149
D1800,22800
D1801,22801
D1802,22802
D1803,22804
D1804,22804
D1805,22809
D1808,22809
D181,2281
